Increments,Abscissas in mm,Ordinates in mm,Grey values
1061,10.135,4.932,33626
1062,10.138,4.938,33158
1063,10.140,4.945,33127
1064,10.143,4.951,33203
1065,10.146,4.958,33256
1066,10.148,4.964,33585
1067,10.151,4.971,34041
1068,10.154,4.977,34696
1069,10.156,4.984,35484
1070,10.159,4.990,36518
1071,10.162,4.997,37474
1072,10.164,5.004,38533
1073,10.167,5.010,39346
1074,10.170,5.017,40020
1075,10.172,5.023,40511
1076,10.175,5.030,40834
1077,10.177,5.036,40917
1078,10.180,5.043,40990
1079,10.182,5.049,40979
1080,10.185,5.056,40699
1081,10.187,5.062,40516
1082,10.190,5.069,40093
1083,10.192,5.075,39859
1084,10.195,5.082,39659
1085,10.197,5.088,39412
1086,10.200,5.095,39374
1087,10.202,5.101,39411
1088,10.204,5.108,39546
1089,10.207,5.114,39814
1090,10.209,5.121,40408
1091,10.212,5.127,41094
1092,10.214,5.134,41995
1093,10.216,5.140,43604
1094,10.219,5.147,44975
1095,10.221,5.153,46470
1096,10.223,5.160,48600
1097,10.226,5.166,50090
1098,10.228,5.173,51429
1099,10.230,5.179,52805
1100,10.232,5.186,53495
1101,10.235,5.192,53885
1102,10.237,5.199,53916
1103,10.239,5.205,53649
1104,10.241,5.212,52740
1105,10.243,5.218,51658
1106,10.246,5.225,50216
1107,10.248,5.231,47942
1108,10.250,5.238,46055
1109,10.252,5.244,44156
1110,10.254,5.251,42332
1111,10.256,5.257,40191
1112,10.258,5.264,38750
1113,10.261,5.270,37538
1114,10.263,5.277,36367
1115,10.265,5.283,35743
1116,10.267,5.290,35344
1117,10.269,5.296,35137
1118,10.271,5.303,35103
1119,10.273,5.309,35199
1120,10.275,5.316,35622
1121,10.277,5.322,36139
1122,10.279,5.329,36890
1123,10.281,5.335,38271
1124,10.283,5.342,39528
1125,10.285,5.348,40946
1126,10.287,5.355,42477
1127,10.289,5.361,44599
1128,10.291,5.368,46175
1129,10.292,5.374,47646
1130,10.294,5.381,49315
1131,10.296,5.387,50242
1132,10.298,5.394,50869
1133,10.300,5.400,51319
1134,10.302,5.407,51335
1135,10.304,5.413,51112
1136,10.305,5.420,50632
1137,10.307,5.426,49515
1138,10.309,5.433,48306
1139,10.311,5.439,46844
1140,10.313,5.446,45205
1141,10.314,5.452,42556
1142,10.316,5.459,40747
1143,10.318,5.465,39033
1144,10.319,5.472,36508
1145,10.321,5.478,35168
1146,10.323,5.485,34065
1147,10.325,5.491,33203
1148,10.326,5.498,31862
1149,10.328,5.505,31473
1150,10.330,5.511,31257
1151,10.331,5.518,31202
1152,10.333,5.524,30849
1153,10.334,5.531,31108
1154,10.336,5.537,31534
1155,10.338,5.544,32157
1156,10.339,5.550,32695
1157,10.341,5.557,33806
1158,10.342,5.563,35162
1159,10.344,5.570,36732
1160,10.345,5.576,38401
1161,10.347,5.583,40229
1162,10.348,5.589,42028
1163,10.350,5.596,43679
1164,10.351,5.602,45070
1165,10.353,5.609,46062
1166,10.354,5.615,46699
1167,10.356,5.622,46995
1168,10.357,5.628,46979
1169,10.359,5.635,46424
1170,10.360,5.641,45717
1171,10.362,5.648,44675
1172,10.363,5.654,43344
1173,10.364,5.661,41819
1174,10.366,5.667,39914
1175,10.367,5.674,38374
1176,10.368,5.680,36940
1177,10.370,5.687,35671
1178,10.371,5.693,34606
1179,10.372,5.700,33789
1180,10.374,5.706,33229
1181,10.375,5.713,32861
1182,10.376,5.719,32653
1183,10.378,5.726,32579
1184,10.379,5.732,32862
1185,10.380,5.739,33118
1186,10.381,5.745,33581
1187,10.383,5.752,34291
1188,10.384,5.758,35275
1189,10.385,5.765,37129
1190,10.386,5.771,38725
1191,10.387,5.778,40530
1192,10.389,5.784,42486
1193,10.390,5.791,44519
1194,10.391,5.797,46547
1195,10.392,5.804,49242
1196,10.393,5.810,50915
1197,10.394,5.817,52297
1198,10.395,5.823,53348
1199,10.396,5.830,54064
1200,10.398,5.836,54739
1201,10.399,5.843,54854
1202,10.400,5.849,54781
1203,10.401,5.856,54510
1204,10.402,5.862,53999
1205,10.403,5.869,53191
1206,10.404,5.875,52043
1207,10.405,5.882,50364
1208,10.406,5.888,48538
1209,10.407,5.895,46517
1210,10.408,5.901,44398
1211,10.409,5.908,42285
1212,10.410,5.914,40271
1213,10.411,5.921,38241
1214,10.412,5.927,36712
1215,10.412,5.934,35494
1216,10.413,5.940,34602
1217,10.414,5.947,34014
1218,10.415,5.953,33675
1219,10.416,5.960,33523
1220,10.417,5.966,33520
1221,10.418,5.973,33778
1222,10.419,5.979,34150
1223,10.419,5.986,34757
1224,10.420,5.992,35630
1225,10.421,5.999,36773
1226,10.422,6.006,38170
1227,10.423,6.012,39793
1228,10.423,6.019,41609
1229,10.424,6.025,44111
1230,10.425,6.032,46205
1231,10.426,6.038,48283
1232,10.426,6.045,50221
1233,10.427,6.051,51886
1234,10.428,6.058,53177
1235,10.429,6.064,54054
1236,10.429,6.071,54532
1237,10.430,6.077,54654
1238,10.431,6.084,54691
1239,10.431,6.090,54085
1240,10.432,6.097,53077
1241,10.433,6.103,51653
1242,10.433,6.110,49867
1243,10.434,6.116,47823
1244,10.434,6.123,45663
1245,10.435,6.129,43516
1246,10.436,6.136,41493
1247,10.436,6.142,39670
1248,10.437,6.149,38452
1249,10.437,6.155,37207
1250,10.438,6.162,36233
1251,10.438,6.168,35511
1252,10.439,6.175,35009
1253,10.439,6.181,34699
1254,10.440,6.188,34569
1255,10.440,6.194,34622
1256,10.441,6.201,34875
1257,10.441,6.207,35346
1258,10.442,6.214,36047
1259,10.442,6.220,36980
1260,10.443,6.227,38123
1261,10.443,6.233,40736
1262,10.443,6.240,42276
1263,10.444,6.246,43853
1264,10.444,6.253,45381
1265,10.445,6.259,46784
1266,10.445,6.266,48001
1267,10.445,6.272,48993
1268,10.446,6.279,49736
1269,10.446,6.285,50214
1270,10.446,6.292,50419
1271,10.447,6.298,50366
1272,10.447,6.305,50075
1273,10.447,6.311,49578
1274,10.447,6.318,48920
1275,10.448,6.324,48144
1276,10.448,6.331,47294
1277,10.448,6.337,46401
1278,10.449,6.344,45490
1279,10.449,6.350,44578
1280,10.449,6.357,43671
1281,10.449,6.363,42772
1282,10.449,6.370,41882
1283,10.450,6.376,41994
1284,10.450,6.383,41002
1285,10.450,6.389,40058
1286,10.450,6.396,39193
1287,10.450,6.402,38444
1288,10.450,6.409,37839
1289,10.450,6.415,37394
1290,10.451,6.422,37106
1291,10.451,6.428,36962
1292,10.451,6.435,36953
1293,10.451,6.441,37079
1294,10.451,6.448,37359
1295,10.451,6.454,37823
1296,10.451,6.461,38503
1297,10.451,6.467,39416
1298,10.451,6.474,40564
1299,10.451,6.480,41926
1300,10.451,6.487,43464
1301,10.451,6.493,45122
1302,10.451,6.500,46823
1303,10.451,6.507,48472
1304,10.451,6.513,49968
1305,10.451,6.520,51213
1306,10.451,6.526,52143
1307,10.451,6.533,52738
1308,10.451,6.539,53012
1309,10.451,6.546,52984
1310,10.451,6.552,52639
1311,10.450,6.559,51930
1312,10.450,6.565,50801
1313,10.450,6.572,49226
1314,10.450,6.578,47247
1315,10.450,6.585,44954
1316,10.450,6.591,42470
1317,10.450,6.598,39916
1318,10.449,6.604,37521
1319,10.449,6.611,35163
1320,10.449,6.617,33008
1321,10.449,6.624,31121
1322,10.449,6.630,29539
1323,10.448,6.637,28276
1324,10.448,6.643,27317
1325,10.448,6.650,26621
1326,10.447,6.656,26142
1327,10.447,6.663,25828
1328,10.447,6.669,25641
1329,10.447,6.676,25553
1330,10.446,6.682,25548
1331,10.446,6.689,25629
1332,10.446,6.695,25808
1333,10.445,6.702,26114
1334,10.445,6.708,26587
1335,10.445,6.715,27276
1336,10.444,6.721,28223
1337,10.444,6.728,29452
1338,10.443,6.734,30967
1339,10.443,6.741,32741
1340,10.443,6.747,34656
1341,10.442,6.754,36737
1342,10.442,6.760,38895
1343,10.441,6.767,41055
1344,10.441,6.773,43133
1345,10.440,6.780,45042
1346,10.440,6.786,46705
1347,10.439,6.793,48074
1348,10.439,6.799,49139
1349,10.438,6.806,49916
1350,10.438,6.812,50449
1351,10.437,6.819,50784
1352,10.437,6.825,50966
1353,10.436,6.832,50778
1354,10.436,6.838,50737
1355,10.435,6.845,50576
1356,10.434,6.851,50270
1357,10.434,6.858,49779
1358,10.433,6.864,49060
1359,10.433,6.871,48089
1360,10.432,6.877,46871
1361,10.431,6.884,45450
1362,10.431,6.890,43904
1363,10.430,6.897,42172
1364,10.429,6.903,40656
1365,10.429,6.910,39268
1366,10.428,6.916,38065
1367,10.427,6.923,37087
1368,10.426,6.929,36344
1369,10.426,6.936,35826
1370,10.425,6.942,35503
1371,10.424,6.949,35339
1372,10.423,6.955,35152
1373,10.423,6.962,35235
1374,10.422,6.968,35459
1375,10.421,6.975,35847
1376,10.420,6.981,36417
1377,10.419,6.988,37167
1378,10.419,6.994,38077
1379,10.418,7.001,39115
1380,10.417,7.008,39670
1381,10.416,7.014,40793
1382,10.415,7.021,41958
1383,10.414,7.027,43142
1384,10.413,7.034,44326
1385,10.412,7.040,45481
1386,10.412,7.047,46577
1387,10.411,7.053,47575
1388,10.410,7.060,47221
1389,10.409,7.066,47909
1390,10.408,7.073,48418
1391,10.407,7.079,48721
1392,10.406,7.086,48802
1393,10.405,7.092,48667
1394,10.404,7.099,47402
1395,10.403,7.105,46971
1396,10.402,7.112,46380
1397,10.401,7.118,45631
1398,10.400,7.125,44736
1399,10.399,7.131,43724
1400,10.398,7.138,42643
1401,10.396,7.144,41382
1402,10.395,7.151,40420
1403,10.394,7.157,39552
1404,10.393,7.164,38817
1405,10.392,7.170,38236
1406,10.391,7.177,38029
1407,10.390,7.183,37782
1408,10.389,7.190,37667
1409,10.387,7.196,37684
1410,10.386,7.203,37845
1411,10.385,7.209,38171
1412,10.384,7.216,39119
1413,10.383,7.222,39881
1414,10.381,7.229,40853
1415,10.380,7.235,42013
1416,10.379,7.242,43326
1417,10.378,7.248,45289
1418,10.376,7.255,46710
1419,10.375,7.261,48080
1420,10.374,7.268,49331
1421,10.372,7.274,50407
1422,10.371,7.281,51632
1423,10.370,7.287,52230
1424,10.368,7.294,52635
1425,10.367,7.300,52881
1426,10.366,7.307,53000
1427,10.364,7.313,53195
1428,10.363,7.320,53113
1429,10.362,7.326,52957
1430,10.360,7.333,52731
1431,10.359,7.339,52436
1432,10.357,7.346,52101
1433,10.356,7.352,51645
1434,10.354,7.359,51142
1435,10.353,7.365,50615
1436,10.351,7.372,49916
1437,10.350,7.378,49411
1438,10.348,7.385,48976
1439,10.347,7.391,48630
1440,10.345,7.398,48387
1441,10.344,7.404,47974
1442,10.342,7.411,47963
1443,10.341,7.417,48051
1444,10.339,7.424,48231
1445,10.338,7.430,48271
1446,10.336,7.437,48683
1447,10.334,7.443,49183
1448,10.333,7.450,49750
1449,10.331,7.456,50276
1450,10.330,7.463,50945
1451,10.328,7.469,51573
1452,10.326,7.476,52118
1453,10.325,7.482,52643
1454,10.323,7.489,52974
1455,10.321,7.495,53170
1456,10.319,7.502,53247
1457,10.318,7.509,53302
1458,10.316,7.515,53119
1459,10.314,7.522,52767
1460,10.313,7.528,52167
1461,10.311,7.535,51312
1462,10.309,7.541,50225
1463,10.307,7.548,48950
1464,10.305,7.554,47298
1465,10.304,7.561,45813
1466,10.302,7.567,44335
1467,10.300,7.574,42930
1468,10.298,7.580,41495
1469,10.296,7.587,40461
1470,10.294,7.593,39663
1471,10.292,7.600,39081
1472,10.291,7.606,38785
1473,10.289,7.613,38673
1474,10.287,7.619,38798
1475,10.285,7.626,39049
1476,10.283,7.632,39508
1477,10.281,7.639,40203
1478,10.279,7.645,41410
1479,10.277,7.652,42598
1480,10.275,7.658,43929
1481,10.273,7.665,45683
1482,10.271,7.671,47016
1483,10.269,7.678,48185
1484,10.267,7.684,49325
1485,10.265,7.691,49881
1486,10.263,7.697,50167
1487,10.261,7.704,50183
1488,10.258,7.710,49914
1489,10.256,7.717,49377
1490,10.254,7.723,48254
1491,10.252,7.730,47087
1492,10.250,7.736,45744
1493,10.248,7.743,44323
1494,10.246,7.749,42514
1495,10.243,7.756,41255
1496,10.241,7.762,40186
1497,10.239,7.769,39131
1498,10.237,7.775,38591
1499,10.235,7.782,38189
1500,10.232,7.788,38066
1501,10.230,7.795,38079
1502,10.228,7.801,38305
1503,10.226,7.808,38681
1504,10.223,7.814,39273
1505,10.221,7.821,40409
1506,10.219,7.827,41528
1507,10.216,7.834,42830
1508,10.214,7.840,44703
1509,10.212,7.847,46182
1510,10.209,7.853,47624
1511,10.207,7.860,49260
1512,10.204,7.866,50316
1513,10.202,7.873,51259
1514,10.200,7.879,51755
1515,10.197,7.886,52047
1516,10.195,7.892,52116
1517,10.192,7.899,52055
1518,10.190,7.905,51835
1519,10.187,7.912,51124
1520,10.185,7.918,50360
1521,10.182,7.925,48795
1522,10.180,7.931,47444
1523,10.177,7.938,45928
1524,10.175,7.944,43628
1525,10.172,7.951,42018
1526,10.170,7.957,39909
1527,10.167,7.964,38563
1528,10.164,7.970,37384
1529,10.162,7.977,36173
1530,10.159,7.983,35509
1531,10.156,7.990,35023
1532,10.154,7.996,34811
1533,10.151,8.003,34739
1534,10.148,8.010,34954
1535,10.146,8.016,35240
1536,10.143,8.023,36079
1537,10.140,8.029,36910
1538,10.138,8.036,37989
1539,10.135,8.042,39931
1540,10.132,8.049,41448
1541,10.129,8.055,43787
1542,10.126,8.062,45399
1543,10.124,8.068,47598
1544,10.121,8.075,48908
1545,10.118,8.081,49997
1546,10.115,8.088,51173
1547,10.112,8.094,51660
1548,10.109,8.101,52080
1549,10.106,8.107,52140
1550,10.104,8.114,52076
1551,10.101,8.120,51808
1552,10.098,8.127,51149
1553,10.095,8.133,50367
1554,10.092,8.140,49352
1555,10.089,8.146,47542
1556,10.086,8.153,46086
1557,10.083,8.159,43866
1558,10.080,8.166,42313
1559,10.077,8.172,40198
1560,10.074,8.179,38865
1561,10.071,8.185,37299
1562,10.068,8.192,36457
1563,10.064,8.198,35712
1564,10.061,8.205,35398
1565,10.058,8.211,35308
1566,10.055,8.218,35365
1567,10.052,8.224,35823
1568,10.049,8.231,36321
1569,10.046,8.237,37527
1570,10.042,8.244,38568
1571,10.039,8.250,40495
1572,10.036,8.257,41943
1573,10.033,8.263,44288
1574,10.030,8.270,45868
1575,10.026,8.276,48137
1576,10.023,8.283,49463
1577,10.020,8.289,51103
1578,10.016,8.296,51880
1579,10.013,8.302,52692
1580,10.010,8.309,52955
1581,10.006,8.315,53170
1582,10.003,8.322,53119
1583,10.000,8.328,52905
1584,9.996,8.335,52520
1585,9.993,8.341,51613
1586,9.989,8.348,50666
1587,9.986,8.354,48805
1588,9.982,8.361,47297
1589,9.979,8.367,44808
1590,9.975,8.374,43088
1591,9.972,8.380,40611
1592,9.968,8.387,39083
1593,9.965,8.393,37165
1594,9.961,8.400,35759
1595,9.958,8.406,35078
1596,9.954,8.413,34504
1597,9.951,8.419,34291
1598,9.947,8.426,34246
1599,9.943,8.432,34320
1600,9.940,8.439,34739
1601,9.936,8.445,35205
1602,9.932,8.452,36357
1603,9.929,8.458,38014
1604,9.925,8.465,39306
1605,9.921,8.471,41605
1606,9.917,8.478,43167
1607,9.914,8.484,45596
1608,9.910,8.491,47047
1609,9.906,8.497,49024
1610,9.902,8.504,50570
1611,9.898,8.511,51345
1612,9.895,8.517,52213
1613,9.891,8.524,52621
1614,9.887,8.530,53000
1615,9.883,8.537,53178
1616,9.879,8.543,53259
1617,9.875,8.550,53201
1618,9.871,8.556,53131
1619,9.867,8.563,52780
1620,9.863,8.569,52137
1621,9.859,8.576,51569
1622,9.855,8.582,50247
1623,9.851,8.589,49200
1624,9.847,8.595,47227
1625,9.843,8.602,45067
1626,9.839,8.608,43651
1627,9.835,8.615,41624
1628,9.831,8.621,39942
1629,9.826,8.628,38982
1630,9.822,8.634,38047
1631,9.818,8.641,37558
1632,9.814,8.647,37246
1633,9.810,8.654,37270
1634,9.805,8.660,37232
1635,9.801,8.667,37741
1636,9.797,8.673,38658
1637,9.793,8.680,39209
1638,9.788,8.686,40816
1639,9.784,8.693,42747
1640,9.780,8.699,43809
1641,9.775,8.706,45893
1642,9.771,8.712,47748
1643,9.767,8.719,48714
1644,9.762,8.725,49961
1645,9.758,8.732,50739
1646,9.753,8.738,51308
1647,9.749,8.745,51618
1648,9.744,8.751,51703
1649,9.740,8.758,51622
1650,9.735,8.764,51978
1651,9.731,8.771,51818
1652,9.726,8.777,51712
1653,9.722,8.784,52183
1654,9.717,8.790,52307
1655,9.712,8.797,52605
1656,9.708,8.803,53064
1657,9.703,8.810,53677
1658,9.698,8.816,54183
1659,9.694,8.823,54617
1660,9.689,8.829,54871
1661,9.684,8.836,54988
1662,9.679,8.842,54903
1663,9.675,8.849,54537
1664,9.670,8.855,54072
1665,9.665,8.862,52921
1666,9.660,8.868,51185
1667,9.655,8.875,48931
1668,9.650,8.881,47271
1669,9.645,8.888,44564
1670,9.641,8.894,41868
1671,9.636,8.901,39390
1672,9.631,8.907,37913
1673,9.626,8.914,36127
1674,9.621,8.920,34921
1675,9.616,8.927,34266
1676,9.610,8.933,33898
1677,9.605,8.940,33877
1678,9.600,8.946,34197
1679,9.595,8.953,34936
1680,9.590,8.959,36185
1681,9.585,8.966,36985
1682,9.580,8.972,39000
1683,9.574,8.979,41294
1684,9.569,8.985,43683
1685,9.564,8.992,45996
1686,9.559,8.998,47177
1687,9.553,9.005,49096
1688,9.548,9.012,50619
1689,9.543,9.018,51721
1690,9.537,9.025,52443
1691,9.532,9.031,52852
1692,9.527,9.038,53062
1693,9.521,9.044,53118
1694,9.516,9.051,52996
1695,9.510,9.057,52679
1696,9.505,9.064,52071
1697,9.499,9.070,51023
1698,9.494,9.077,50295
1699,9.488,9.083,48436
1700,9.482,9.090,46225
1701,9.477,9.096,43904
1702,9.471,9.103,41708
1703,9.465,9.109,39817
1704,9.460,9.116,38340
1705,9.454,9.122,37313
1706,9.448,9.129,36930
1707,9.442,9.135,36518
1708,9.437,9.142,36357
1709,9.431,9.148,36362
1710,9.425,9.155,36509
1711,9.419,9.161,36814
1712,9.413,9.168,37268
1713,9.407,9.174,37809
1714,9.401,9.181,38343
1715,9.395,9.187,38793
1716,9.389,9.194,39579
1717,9.383,9.200,39890
1718,9.377,9.207,40003
1719,9.371,9.213,39931
1720,9.365,9.220,39762
1721,9.359,9.226,39637
1722,9.352,9.233,39699
1723,9.346,9.239,40044
1724,9.340,9.246,40722
1725,9.334,9.252,41765
1726,9.327,9.259,43151
1727,9.321,9.265,44751
1728,9.315,9.272,46342
1729,9.308,9.278,47680
1730,9.302,9.285,48584
1731,9.295,9.291,48984
1732,9.289,9.298,48902
1733,9.282,9.304,48361
1734,9.285,9.302,48902
1735,9.278,9.308,48361
1736,9.272,9.315,47337
1737,9.265,9.321,45820
1738,9.259,9.328,43901
1739,9.252,9.334,41795
1740,9.246,9.340,39782
1741,9.239,9.347,38120
1742,9.233,9.353,36961
1743,9.226,9.359,36300
1744,9.220,9.366,36026
1745,9.213,9.372,36051
1746,9.207,9.378,36384
1747,9.200,9.384,37101
1748,9.194,9.390,38258
1749,9.187,9.396,39820
1750,9.181,9.402,41674
1751,9.174,9.408,42784
1752,9.168,9.414,44716
1753,9.161,9.420,46427
1754,9.155,9.426,47716
1755,9.148,9.432,48510
1756,9.142,9.438,48897
1757,9.135,9.444,49025
1758,9.129,9.450,48987
1759,9.122,9.456,48826
1760,9.116,9.462,48583
1761,9.109,9.467,48312
1762,9.103,9.473,48183
1763,9.096,9.479,47995
1764,9.090,9.484,47909
1765,9.083,9.490,47944
1766,9.077,9.496,48106
1767,9.070,9.501,48400
1768,9.064,9.507,48815
1769,9.057,9.513,49286
1770,9.051,9.518,49563
1771,9.044,9.524,49915
1772,9.038,9.529,50096
1773,9.031,9.535,50077
1774,9.025,9.540,49790
1775,9.018,9.546,49078
1776,9.012,9.551,48407
1777,9.005,9.556,46725
1778,8.998,9.562,44505
1779,8.992,9.567,41986
1780,8.985,9.572,39431
1781,8.979,9.578,37048
1782,8.972,9.583,35789
1783,8.966,9.588,34022
1784,8.959,9.593,32770
1785,8.953,9.599,32025
1786,8.946,9.604,31673
1787,8.940,9.609,31617
1788,8.933,9.614,31662
1789,8.927,9.619,31959
1790,8.920,9.624,32624
1791,8.914,9.629,33242
1792,8.907,9.634,34675
1793,8.901,9.639,36576
1794,8.894,9.644,38826
1795,8.888,9.649,41271
1796,8.881,9.654,42747
1797,8.875,9.659,45142
1798,8.868,9.664,47280
1799,8.862,9.669,49033
1800,8.855,9.674,49854
1801,8.849,9.679,50908
1802,8.842,9.684,51605
1803,8.836,9.688,52055
1804,8.829,9.693,52223
1805,8.823,9.698,52432
1806,8.816,9.703,52524
1807,8.810,9.708,52498
1808,8.803,9.712,52394
1809,8.797,9.717,52137
1810,8.790,9.722,51658
1811,8.784,9.726,51209
1812,8.777,9.731,50108
1813,8.771,9.736,48470
1814,8.764,9.740,47246
1815,8.758,9.745,44851
1816,8.751,9.749,42215
1817,8.745,9.754,39563
1818,8.738,9.758,38041
1819,8.732,9.763,35769
1820,8.725,9.767,33901
1821,8.719,9.772,33006
1822,8.712,9.776,31899
1823,8.706,9.781,31233
1824,8.699,9.785,31054
1825,8.693,9.789,30895
1826,8.686,9.794,30960
1827,8.680,9.798,31192
1828,8.673,9.802,31736
1829,8.667,9.807,32708
1830,8.660,9.811,33637
1831,8.654,9.815,35356
1832,8.647,9.820,37443
1833,8.641,9.824,38974
1834,8.634,9.828,41396
1835,8.628,9.832,43821
1836,8.621,9.836,45353
1837,8.615,9.841,47417
1838,8.608,9.845,49104
1839,8.602,9.849,50001
1840,8.595,9.853,51016
1841,8.589,9.857,51517
1842,8.582,9.861,52049
1843,8.576,9.865,52409
1844,8.569,9.869,52575
1845,8.563,9.873,52741
1846,8.556,9.877,52808
1847,8.550,9.881,52783
1848,8.543,9.885,52656
1849,8.537,9.889,52501
1850,8.530,9.893,52118
1851,8.524,9.897,51482
1852,8.517,9.901,50902
1853,8.511,9.905,49563
1854,8.504,9.909,48464
1855,8.497,9.913,46271
1856,8.491,9.917,43726
1857,8.484,9.920,42110
1858,8.478,9.924,39503
1859,8.471,9.928,38043
1860,8.465,9.932,35850
1861,8.458,9.935,34029
1862,8.452,9.939,33153
1863,8.445,9.943,31988
1864,8.439,9.947,31503
1865,8.432,9.950,30957
1866,8.426,9.954,30800
1867,8.419,9.958,30706
1868,8.413,9.961,30797
1869,8.406,9.965,31133
1870,8.400,9.969,31876
1871,8.393,9.972,32632
1872,8.387,9.976,34275
1873,8.380,9.979,35602
1874,8.374,9.983,38073
1875,8.367,9.986,39772
1876,8.361,9.990,42608
1877,8.354,9.993,44348
1878,8.348,9.997,47003
1879,8.341,10.000,48490
1880,8.335,10.004,50542
1881,8.328,10.007,52108
1882,8.322,10.011,52830
1883,8.315,10.014,53661
1884,8.309,10.018,53998
1885,8.302,10.021,54354
1886,8.296,10.024,54475
1887,8.289,10.028,54540
1888,8.283,10.031,54511
1889,8.276,10.034,54307
1890,8.270,10.038,54120
1891,8.263,10.041,53553
1892,8.257,10.044,53143
1893,8.250,10.047,52000
1894,8.244,10.051,51248
1895,8.237,10.054,49352
1896,8.231,10.057,48238
1897,8.224,10.060,45750
1898,8.218,10.063,44441
1899,8.211,10.067,41785
1900,8.205,10.070,40526
1901,8.198,10.073,38139
1902,8.192,10.076,37150
1903,8.185,10.079,35348
1904,8.179,10.082,34773
1905,8.172,10.085,33700
1906,8.166,10.088,33547
1907,8.159,10.091,33526
1908,8.153,10.095,33266
1909,8.146,10.098,33525
1910,8.140,10.101,33699
1911,8.133,10.104,34249
1912,8.127,10.107,34963
1913,8.120,10.110,35919
1914,8.114,10.112,37300
1915,8.107,10.115,38714
1916,8.101,10.118,40709
1917,8.094,10.121,42515
1918,8.088,10.124,44908
1919,8.081,10.127,46905
1920,8.075,10.130,48883
1921,8.068,10.133,51105
1922,8.062,10.136,52653
1923,8.055,10.138,54050
1924,8.049,10.141,54801
1925,8.042,10.144,55248
1926,8.036,10.147,55289
1927,8.029,10.150,55033
1928,8.023,10.152,54324
1929,8.016,10.155,53283
1930,8.010,10.158,51652
1931,8.003,10.161,49843
1932,7.996,10.163,47632
1933,7.990,10.166,45510
1934,7.983,10.169,43404
1935,7.977,10.171,41362
1936,7.970,10.174,39572
1937,7.964,10.177,38057
1938,7.957,10.179,36764
1939,7.951,10.182,35737
1940,7.944,10.184,35153
1941,7.938,10.187,34650
1942,7.931,10.190,34597
1943,7.925,10.192,34478
1944,7.918,10.195,34521
1945,7.912,10.197,35108
1946,7.905,10.200,35573
1947,7.899,10.202,36806
1948,7.892,10.205,37820
1949,7.886,10.207,39064
1950,7.879,10.210,41147
1951,7.873,10.212,42641
1952,7.866,10.215,44097
1953,7.860,10.217,45895
1954,7.853,10.219,46858
1955,7.847,10.222,47761
1956,7.840,10.224,48068
1957,7.834,10.227,48150
1958,7.827,10.229,47993
1959,7.821,10.231,47567
1960,7.814,10.234,46875
1961,7.808,10.236,45625
1962,7.801,10.238,44366
1963,7.795,10.241,42976
1964,7.788,10.243,41191
1965,7.782,10.245,39867
1966,7.775,10.247,38700
1967,7.769,10.250,37594
1968,7.762,10.252,36923
1969,7.756,10.254,36451
1970,7.749,10.256,36255
1971,7.743,10.259,36140
1972,7.736,10.261,36355
1973,7.730,10.263,36550
1974,7.723,10.265,36918
1975,7.717,10.267,37872
1976,7.710,10.269,38725
1977,7.704,10.272,39790
1978,7.697,10.274,41044
1979,7.691,10.276,42987
1980,7.684,10.278,44481
1981,7.678,10.280,45996
1982,7.671,10.282,47923
1983,7.665,10.284,49222
1984,7.658,10.286,50343
1985,7.652,10.288,51447
1986,7.645,10.290,52045
1987,7.639,10.292,52451
1988,7.632,10.294,52700
1989,7.626,10.296,52826
1990,7.619,10.298,52899
1991,7.613,10.300,52825
1992,7.606,10.302,52814
1993,7.600,10.304,52792
1994,7.593,10.306,52771
1995,7.587,10.308,52563
1996,7.580,10.310,52584
1997,7.574,10.312,52656
1998,7.567,10.313,52564
1999,7.561,10.315,52779
2000,7.554,10.317,53084
2001,7.548,10.319,53479
2002,7.541,10.321,53745
2003,7.535,10.323,54292
2004,7.528,10.324,54861
2005,7.522,10.326,55243
2006,7.515,10.328,55742
2007,7.509,10.330,56132
2008,7.502,10.331,56390
2009,7.495,10.333,56444
2010,7.489,10.335,56458
2011,7.482,10.337,56321
2012,7.476,10.338,55991
2013,7.469,10.340,55525
2014,7.463,10.342,54747
2015,7.456,10.343,53701
2016,7.450,10.345,52429
2017,7.443,10.347,51540
2018,7.437,10.348,50145
2019,7.430,10.350,48771
2020,7.424,10.352,47494
2021,7.417,10.353,47087
2022,7.411,10.355,46143
2023,7.404,10.356,45389
2024,7.398,10.358,44819
2025,7.391,10.359,45189
2026,7.385,10.361,44923
2027,7.378,10.362,44799
2028,7.372,10.364,44813
2029,7.365,10.366,45866
2030,7.359,10.367,46142
2031,7.352,10.368,46509
2032,7.346,10.370,46945
2033,7.339,10.371,48525
2034,7.333,10.373,49044
2035,7.326,10.374,49563
2036,7.320,10.376,50065
2037,7.313,10.377,50537
2038,7.307,10.379,52203
2039,7.300,10.380,52601
2040,7.294,10.381,52962
2041,7.287,10.383,53304
2042,7.281,10.384,53648
2043,7.274,10.385,55125
2044,7.268,10.387,55500
2045,7.261,10.388,55926
2046,7.255,10.389,56405
2047,7.248,10.391,56939
2048,7.242,10.392,58074
2049,7.235,10.393,58565
2050,7.229,10.395,59042
2051,7.222,10.396,59471
2052,7.216,10.397,59824
2053,7.209,10.398,60078
2054,7.203,10.399,60216
2055,7.196,10.401,60279
2056,7.190,10.402,60272
2057,7.183,10.403,60186
2058,7.177,10.404,59906
